merchant_id,risk_label,composite_risk_score
RDS-00302,1,0.42
RDS-00303,0,0.15
RDS-00304,1,0.22
RDS-00305,3,0.7
RDS-00306,0,0.1
RDS-00307,0,0.12
RDS-00308,1,0.42
RDS-00309,2,0.52
RDS-00310,0,0.15
RDS-00311,1,0.37
RDS-00312,0,0.0
RDS-00313,1,0.35
RDS-00314,0,0.15
RDS-00315,0,0.0
RDS-00316,1,0.4
RDS-00317,1,0.42
RDS-00318,0,0.1
RDS-00319,0,0.12
RDS-00320,0,0.0
RDS-00321,0,0.0
RDS-00322,0,0.0
RDS-00323,2,0.5
RDS-00324,0,0.0
RDS-00325,0,0.0
RDS-00326,1,0.4
RDS-00327,1,0.37
RDS-00328,0,0.12
RDS-00329,0,0.0
RDS-00330,0,0.1
RDS-00331,1,0.37
RDS-00332,0,0.12
RDS-00333,1,0.27
RDS-00334,0,0.12
RDS-00335,1,0.27
RDS-00336,1,0.25
RDS-00337,1,0.3
RDS-00338,0,0.15
RDS-00339,1,0.25
RDS-00340,0,0.12
RDS-00341,0,0.0
RDS-00342,0,0.15
RDS-00343,0,0.15
RDS-00344,2,0.55
RDS-00345,0,0.0
RDS-00346,1,0.4
RDS-00347,2,0.65
RDS-00348,0,0.15
RDS-00349,1,0.22
RDS-00350,1,0.3
RDS-00351,1,0.3
RDS-00352,1,0.3
RDS-00353,1,0.3
RDS-00354,0,0.15
RDS-00355,1,0.3
RDS-00356,1,0.37
RDS-00357,1,0.25
RDS-00358,0,0.12
RDS-00359,1,0.37
RDS-00360,1,0.25
RDS-00361,0,0.0
RDS-00362,0,0.15
RDS-00363,0,0.1
RDS-00364,1,0.37
RDS-00365,1,0.25
RDS-00366,2,0.47
RDS-00367,0,0.15
RDS-00368,1,0.37
RDS-00369,1,0.25
RDS-00370,0,0.15
RDS-00371,0,0.0
RDS-00372,1,0.27
RDS-00373,0,0.15
RDS-00374,0,0.0
RDS-00375,0,0.0
RDS-00376,1,0.32
RDS-00377,1,0.37
RDS-00378,0,0.1
RDS-00379,0,0.15
RDS-00380,0,0.12
RDS-00381,1,0.42
RDS-00382,1,0.27
RDS-00383,0,0.12
RDS-00384,0,0.0
RDS-00385,0,0.0
RDS-00386,0,0.12
RDS-00387,1,0.3
RDS-00388,2,0.65
RDS-00389,0,0.1
RDS-00390,0,0.1
RDS-00391,0,0.12
RDS-00392,1,0.22
RDS-00393,1,0.37
RDS-00394,0,0.0
RDS-00395,1,0.35
RDS-00396,1,0.27
RDS-00397,1,0.27
RDS-00398,0,0.0
RDS-00399,1,0.22
RDS-00400,0,0.0
RDS-00401,1,0.22
RDS-00402,0,0.15
RDS-00403,1,0.25
RDS-00404,1,0.37
RDS-00405,0,0.1
RDS-00406,3,0.77
RDS-00407,0,0.12
RDS-00408,0,0.15
RDS-00409,1,0.4
RDS-00410,0,0.1
RDS-00411,0,0.0
RDS-00412,1,0.3
RDS-00413,0,0.0
RDS-00414,2,0.55
RDS-00415,0,0.1
RDS-00416,1,0.3
RDS-00417,0,0.0
RDS-00418,0,0.0
RDS-00419,0,0.12
RDS-00420,2,0.47
RDS-00421,1,0.27
RDS-00422,2,0.52
RDS-00423,0,0.12
RDS-00424,2,0.5
RDS-00425,0,0.15
RDS-00426,3,0.77
RDS-00427,0,0.0
RDS-00428,0,0.0
RDS-00429,1,0.37
RDS-00430,1,0.4
RDS-00431,0,0.12
RDS-00432,1,0.25
RDS-00433,0,0.15
RDS-00434,1,0.25
RDS-00435,0,0.15
RDS-00436,0,0.15
RDS-00437,0,0.0
RDS-00438,1,0.37
RDS-00439,0,0.0
RDS-00440,0,0.15
RDS-00441,0,0.1
RDS-00442,0,0.0
RDS-00443,2,0.57
RDS-00444,1,0.27
RDS-00445,1,0.27
RDS-00446,1,0.3
RDS-00447,0,0.0
RDS-00448,0,0.0
RDS-00449,1,0.3
RDS-00450,0,0.15
RDS-00451,0,0.15
RDS-00452,0,0.0
RDS-00453,1,0.3
RDS-00454,0,0.15
RDS-00455,2,0.55
RDS-00456,1,0.25
RDS-00457,0,0.0
RDS-00458,0,0.0
RDS-00459,0,0.15
RDS-00460,0,0.15
RDS-00461,0,0.15
RDS-00462,3,1.0
RDS-00463,0,0.12
RDS-00464,0,0.0
RDS-00465,2,0.67
RDS-00466,1,0.3
RDS-00467,1,0.3
RDS-00468,0,0.1
RDS-00469,0,0.12
RDS-00470,0,0.12
RDS-00471,0,0.15
RDS-00472,1,0.37
RDS-00473,0,0.15
RDS-00474,0,0.12
RDS-00475,1,0.25
RDS-00476,1,0.27
RDS-00477,0,0.0
RDS-00478,0,0.15
RDS-00479,0,0.0
RDS-00480,0,0.15
RDS-00481,1,0.22
RDS-00482,2,0.55
RDS-00483,2,0.65
RDS-00484,0,0.15
RDS-00485,0,0.0
RDS-00486,0,0.1
RDS-00487,0,0.0
RDS-00488,0,0.0
RDS-00489,2,0.55
RDS-00490,1,0.25
RDS-00491,1,0.3
RDS-00492,0,0.15
RDS-00493,0,0.0
RDS-00494,1,0.37
RDS-00495,0,0.0
RDS-00496,2,0.62
RDS-00497,1,0.35
RDS-00498,1,0.25
RDS-00499,0,0.0
RDS-00500,2,0.52
RDS-00501,1,0.37
RDS-00502,1,0.37
RDS-00503,1,0.27
RDS-00504,0,0.15
RDS-00505,0,0.0
RDS-00506,0,0.15
RDS-00507,2,0.65
RDS-00508,0,0.0
RDS-00509,0,0.1
RDS-00510,1,0.25
RDS-00511,0,0.0
RDS-00512,0,0.0
RDS-00513,1,0.3
RDS-00514,0,0.1
RDS-00515,1,0.42
RDS-00516,1,0.27
RDS-00517,1,0.37
RDS-00518,1,0.27
RDS-00519,2,0.5
RDS-00520,3,0.77
RDS-00521,2,0.52
RDS-00522,0,0.15
RDS-00523,1,0.27
RDS-00524,0,0.15
RDS-00525,1,0.2
RDS-00526,1,0.25
RDS-00527,1,0.3
RDS-00528,1,0.2
RDS-00529,0,0.15
RDS-00530,0,0.15
RDS-00531,0,0.0
RDS-00532,0,0.12
RDS-00533,1,0.25
RDS-00534,0,0.12
RDS-00535,0,0.15
RDS-00536,0,0.15
RDS-00537,1,0.4
RDS-00538,0,0.0
RDS-00539,1,0.2
RDS-00540,1,0.25
RDS-00541,0,0.0
RDS-00542,2,0.65
RDS-00543,0,0.0
RDS-00544,0,0.12
RDS-00545,2,0.5
RDS-00546,3,0.7
RDS-00547,2,0.52
RDS-00548,1,0.42
RDS-00549,1,0.27
RDS-00550,0,0.12
RDS-00551,0,0.0
RDS-00552,1,0.45
RDS-00553,0,0.12
RDS-00554,0,0.15
RDS-00555,1,0.25
RDS-00556,2,0.65
RDS-00557,1,0.27
RDS-00558,1,0.25
RDS-00559,0,0.1
RDS-00560,1,0.4
RDS-00561,0,0.0
RDS-00562,0,0.15
RDS-00563,2,0.5
RDS-00564,0,0.15
RDS-00565,0,0.15
RDS-00566,1,0.27
RDS-00567,1,0.27
RDS-00568,1,0.42
RDS-00569,1,0.22
RDS-00570,0,0.12
RDS-00571,2,0.57
RDS-00572,0,0.12
RDS-00573,0,0.12
RDS-00574,0,0.1
RDS-00575,1,0.27
RDS-00576,2,0.55
RDS-00577,0,0.15
RDS-00578,0,0.15
RDS-00579,1,0.3
RDS-00580,0,0.0
RDS-00581,2,0.55
RDS-00582,0,0.0
RDS-00583,0,0.0
RDS-00584,1,0.25
RDS-00585,0,0.15
RDS-00586,0,0.0
RDS-00587,0,0.0
RDS-00588,0,0.15
RDS-00589,1,0.25
RDS-00590,1,0.3
RDS-00591,1,0.25
RDS-00592,1,0.27
RDS-00593,0,0.0
RDS-00594,1,0.37
RDS-00595,0,0.15
RDS-00596,3,0.77
RDS-00597,0,0.12
RDS-00598,2,0.47
RDS-00599,0,0.0
RDS-00600,2,0.55
RDS-00601,0,0.0
RDS-00602,0,0.0
RDS-00603,0,0.15
RDS-00604,0,0.15
RDS-00605,1,0.22
RDS-00606,0,0.0
RDS-00607,0,0.0
RDS-00608,0,0.1
RDS-00609,0,0.15
RDS-00610,1,0.37
RDS-00611,1,0.22
RDS-00612,0,0.12
RDS-00613,0,0.0
RDS-00614,0,0.0
RDS-00615,0,0.1
RDS-00616,0,0.15
RDS-00617,0,0.15
RDS-00618,1,0.37
RDS-00619,0,0.0
RDS-00620,1,0.27
RDS-00621,1,0.27
RDS-00622,1,0.25
RDS-00623,1,0.37
RDS-00624,1,0.3
RDS-00625,2,0.65
RDS-00626,0,0.0
RDS-00627,1,0.42
RDS-00628,1,0.25
RDS-00629,0,0.15
RDS-00630,1,0.37
RDS-00631,0,0.0
RDS-00632,0,0.12
RDS-00633,1,0.4
RDS-00634,0,0.15
RDS-00635,1,0.25
RDS-00636,0,0.0
RDS-00637,0,0.1
RDS-00638,0,0.0
RDS-00639,1,0.37
RDS-00640,0,0.0
RDS-00641,1,0.22
RDS-00642,1,0.3
RDS-00643,1,0.27
RDS-00644,1,0.27
RDS-00645,3,0.77
RDS-00646,1,0.37
RDS-00647,2,0.67
RDS-00648,0,0.0
RDS-00649,0,0.12
RDS-00650,0,0.0
RDS-00651,1,0.4
RDS-00652,1,0.3
RDS-00653,0,0.0
RDS-00654,1,0.25
RDS-00655,0,0.0
RDS-00656,0,0.1
RDS-00657,0,0.1
RDS-00658,1,0.25
RDS-00659,0,0.1
RDS-00660,0,0.12
RDS-00661,2,0.55
RDS-00662,1,0.3
RDS-00663,0,0.12
RDS-00664,0,0.0
RDS-00665,0,0.15
RDS-00666,1,0.42
RDS-00667,1,0.25
RDS-00668,1,0.27
RDS-00669,0,0.0
RDS-00670,1,0.22
RDS-00671,1,0.37
RDS-00672,0,0.0
RDS-00673,0,0.12
RDS-00674,1,0.25
RDS-00675,1,0.3
RDS-00676,1,0.35
RDS-00677,1,0.3
RDS-00678,2,0.5
RDS-00679,0,0.12
RDS-00680,2,0.62
RDS-00681,0,0.1
RDS-00682,0,0.0
RDS-00683,2,0.62
RDS-00684,0,0.15
RDS-00685,2,0.52
RDS-00686,1,0.37
RDS-00687,1,0.3
RDS-00688,0,0.15
RDS-00689,0,0.15
RDS-00690,0,0.0
RDS-00691,1,0.3
RDS-00692,1,0.37
RDS-00693,1,0.22
RDS-00694,3,0.77
RDS-00695,1,0.37
RDS-00696,0,0.15
RDS-00697,0,0.0
RDS-00698,0,0.0
RDS-00699,1,0.25
RDS-00700,2,0.65
RDS-00701,0,0.12
RDS-00702,1,0.25
RDS-00703,1,0.4
RDS-00704,1,0.25
RDS-00705,0,0.15
RDS-00706,0,0.1
RDS-00707,1,0.27
RDS-00708,0,0.12
RDS-00709,1,0.22
RDS-00710,0,0.12
RDS-00711,2,0.47
RDS-00712,0,0.12
RDS-00713,2,0.52
RDS-00714,1,0.37
RDS-00715,1,0.27
RDS-00716,1,0.37
RDS-00717,0,0.15
RDS-00718,0,0.0
RDS-00719,1,0.22
RDS-00720,1,0.3
RDS-00721,0,0.15
RDS-00722,0,0.15
RDS-00723,1,0.25
RDS-00724,0,0.15
RDS-00725,0,0.0
RDS-00726,0,0.15
RDS-00727,0,0.15
RDS-00728,3,0.7
RDS-00729,1,0.3
RDS-00730,0,0.0
RDS-00731,1,0.4
RDS-00732,0,0.0
RDS-00733,0,0.12
RDS-00734,0,0.1
RDS-00735,0,0.12
RDS-00736,1,0.4
RDS-00737,0,0.0
RDS-00738,1,0.22
RDS-00739,0,0.15
RDS-00740,0,0.15
RDS-00741,1,0.27
RDS-00742,1,0.27
RDS-00743,1,0.42
RDS-00744,0,0.15
RDS-00745,0,0.15
RDS-00746,0,0.1
RDS-00747,0,0.15
RDS-00748,0,0.12
RDS-00749,0,0.15
RDS-00750,1,0.25
RDS-00751,0,0.12
RDS-00752,1,0.35
RDS-00753,0,0.0
RDS-00754,0,0.1
RDS-00755,1,0.3
RDS-00756,1,0.3
RDS-00757,0,0.0
RDS-00758,2,0.55
RDS-00759,0,0.0
RDS-00760,1,0.37
RDS-00761,0,0.12
RDS-00762,0,0.0
RDS-00763,0,0.12
RDS-00764,1,0.27
RDS-00765,0,0.15
RDS-00766,3,0.82
RDS-00767,1,0.27
RDS-00768,0,0.0
RDS-00769,0,0.15
RDS-00770,0,0.0
RDS-00771,1,0.25
RDS-00772,1,0.37
RDS-00773,2,0.55
RDS-00774,0,0.15
RDS-00775,0,0.15
RDS-00776,0,0.0
RDS-00777,0,0.0
RDS-00778,0,0.15
RDS-00779,3,0.77
RDS-00780,0,0.12
RDS-00781,2,0.55
RDS-00782,0,0.12
RDS-00783,1,0.3
RDS-00784,1,0.37
RDS-00785,1,0.42
RDS-00786,0,0.15
RDS-00787,0,0.0
RDS-00788,2,0.5
RDS-00789,2,0.52
RDS-00790,0,0.1
RDS-00791,1,0.27
RDS-00792,0,0.0
RDS-00793,0,0.0
RDS-00794,0,0.1
RDS-00795,1,0.25
RDS-00796,1,0.27
RDS-00797,0,0.15
RDS-00798,1,0.3
RDS-00799,2,0.5
RDS-00800,1,0.25
RDS-00801,2,0.65
RDS-00802,1,0.32
RDS-00803,0,0.0
RDS-00804,1,0.3
RDS-00805,0,0.15
RDS-00806,0,0.0
RDS-00807,1,0.27
RDS-00808,0,0.15
RDS-00809,3,0.7
RDS-00810,0,0.12
RDS-00811,2,0.52
RDS-00812,0,0.15
RDS-00813,0,0.1
RDS-00814,2,0.55
RDS-00815,0,0.0
RDS-00816,1,0.25
RDS-00817,0,0.15
RDS-00818,1,0.25
RDS-00819,0,0.15
RDS-00820,1,0.25
RDS-00821,1,0.25
RDS-00822,0,0.15
RDS-00823,1,0.4
RDS-00824,1,0.25
RDS-00825,0,0.0
RDS-00826,3,0.77
RDS-00827,0,0.0
RDS-00828,0,0.0
RDS-00829,0,0.15
RDS-00830,0,0.0
RDS-00831,2,0.52
RDS-00832,0,0.15
RDS-00833,1,0.25
RDS-00834,1,0.27
RDS-00835,1,0.3
RDS-00836,1,0.27
RDS-00837,1,0.27
RDS-00838,1,0.27
RDS-00839,1,0.37
RDS-00840,0,0.0
RDS-00841,0,0.0
RDS-00842,0,0.15
RDS-00843,1,0.3
RDS-00844,0,0.15
RDS-00845,2,0.65
RDS-00846,0,0.0
RDS-00847,0,0.0
RDS-00848,2,0.65
RDS-00849,1,0.2
RDS-00850,2,0.52
RDS-00851,0,0.15
RDS-00852,2,0.67
RDS-00853,0,0.0
RDS-00854,2,0.62
RDS-00855,0,0.12
RDS-00856,3,1.0
RDS-00857,0,0.0
RDS-00858,0,0.1
RDS-00859,0,0.15
RDS-00860,1,0.27
RDS-00861,1,0.25
RDS-00862,1,0.27
RDS-00863,1,0.27
RDS-00864,0,0.15
RDS-00865,0,0.0
RDS-00866,0,0.0
RDS-00867,1,0.3
RDS-00868,0,0.0
RDS-00869,1,0.25
RDS-00870,1,0.42
RDS-00871,0,0.0
RDS-00872,0,0.15
RDS-00873,0,0.15
RDS-00874,0,0.0
RDS-00875,1,0.25
RDS-00876,0,0.15
RDS-00877,0,0.1
RDS-00878,1,0.37
RDS-00879,0,0.0
RDS-00880,0,0.15
RDS-00881,1,0.3
RDS-00882,1,0.37
RDS-00883,0,0.15
RDS-00884,3,0.77
RDS-00885,0,0.0
RDS-00886,1,0.27
RDS-00887,0,0.0
RDS-00888,0,0.15
RDS-00889,0,0.0
RDS-00890,0,0.0
RDS-00891,2,0.55
RDS-00892,0,0.0
RDS-00893,0,0.15
RDS-00894,0,0.15
RDS-00895,2,0.55
RDS-00896,0,0.12
RDS-00897,1,0.3
RDS-00898,0,0.0
RDS-00899,0,0.0
RDS-00900,0,0.0
RDS-00901,2,0.5
RDS-00902,2,0.47
RDS-00903,0,0.0
RDS-00904,0,0.15
RDS-00905,1,0.25
RDS-00906,2,0.5
RDS-00907,1,0.27
RDS-00908,2,0.67
RDS-00909,0,0.12
RDS-00910,0,0.15
RDS-00911,0,0.0
RDS-00912,0,0.1
RDS-00913,0,0.0
RDS-00914,0,0.0
RDS-00915,0,0.15
RDS-00916,0,0.0
RDS-00917,1,0.42
RDS-00918,0,0.15
RDS-00919,0,0.15
RDS-00920,1,0.3
RDS-00921,1,0.2
RDS-00922,1,0.25
RDS-00923,0,0.15
RDS-00924,0,0.15
RDS-00925,0,0.12
RDS-00926,2,0.67
RDS-00927,1,0.3
RDS-00928,0,0.0
RDS-00929,0,0.0
RDS-00930,1,0.27
RDS-00931,1,0.27
RDS-00932,0,0.12
RDS-00933,1,0.27
RDS-00934,0,0.12
RDS-00935,1,0.27
RDS-00936,1,0.25
RDS-00937,0,0.0
RDS-00938,2,0.55
RDS-00939,0,0.15
RDS-00940,1,0.27
RDS-00941,1,0.25
RDS-00942,1,0.25
RDS-00943,2,0.65
RDS-00944,1,0.3
RDS-00945,1,0.35
RDS-00946,0,0.12
RDS-00947,0,0.0
RDS-00948,1,0.42
RDS-00949,1,0.25
RDS-00950,0,0.15
RDS-00951,0,0.12
RDS-00952,1,0.25
RDS-00953,0,0.12
RDS-00954,1,0.27
RDS-00955,1,0.27
RDS-00956,0,0.12
RDS-00957,1,0.37
RDS-00958,0,0.12
RDS-00959,0,0.12
RDS-00960,1,0.3
RDS-00961,0,0.15
RDS-00962,0,0.15
RDS-00963,0,0.1
RDS-00964,1,0.25
RDS-00965,1,0.27
RDS-00966,0,0.15
RDS-00967,2,0.5
RDS-00968,0,0.15
RDS-00969,1,0.2
RDS-00970,0,0.0
RDS-00971,0,0.1
RDS-00972,0,0.12
RDS-00973,0,0.1
RDS-00974,0,0.0
RDS-00975,0,0.0
RDS-00976,0,0.12
RDS-00977,0,0.15
RDS-00978,1,0.45
RDS-00979,1,0.27
RDS-00980,0,0.12
RDS-00981,1,0.42
RDS-00982,0,0.12
RDS-00983,1,0.27
RDS-00984,2,0.55
RDS-00985,1,0.3
RDS-00986,0,0.15
RDS-00987,1,0.3
RDS-00988,0,0.15
RDS-00989,2,0.55
RDS-00990,0,0.0
RDS-00991,0,0.0
RDS-00992,0,0.12
RDS-00993,1,0.27
RDS-00994,0,0.1
RDS-00995,0,0.15
RDS-00996,1,0.27
RDS-00997,1,0.22
RDS-00998,2,0.65
RDS-00999,0,0.12
RDS-01000,1,0.4
RDS-01001,0,0.1
RDS-01002,0,0.12
RDS-01003,0,0.0
RDS-01004,1,0.27
RDS-01005,0,0.15
RDS-01006,1,0.27
RDS-01007,1,0.27
RDS-01008,1,0.2
RDS-01009,0,0.0
RDS-01010,0,0.0
RDS-01011,0,0.0
RDS-01012,0,0.0
RDS-01013,2,0.65
RDS-01014,0,0.12
RDS-01015,0,0.1
RDS-01016,3,0.77
RDS-01017,0,0.12
RDS-01018,1,0.3
RDS-01019,0,0.0
RDS-01020,0,0.15
RDS-01021,0,0.12
RDS-01022,1,0.25
RDS-01023,3,0.77
RDS-01024,1,0.27
RDS-01025,1,0.3
RDS-01026,3,0.77
RDS-01027,0,0.0
RDS-01028,1,0.25
RDS-01029,2,0.55
RDS-01030,1,0.27
RDS-01031,1,0.3
RDS-01032,0,0.0
RDS-01033,0,0.0
RDS-01034,1,0.25
RDS-01035,2,0.55
RDS-01036,0,0.0
RDS-01037,0,0.0
RDS-01038,0,0.0
RDS-01039,2,0.55
RDS-01040,1,0.25
RDS-01041,0,0.15
RDS-01042,0,0.12
RDS-01043,1,0.25
RDS-01044,1,0.27
RDS-01045,0,0.15
RDS-01046,0,0.0
RDS-01047,1,0.22
RDS-01048,2,0.67
RDS-01049,0,0.15
RDS-01050,2,0.5
RDS-01051,0,0.15
RDS-01052,1,0.27
RDS-01053,0,0.12
RDS-01054,0,0.0
RDS-01055,3,0.77
RDS-01056,0,0.15
RDS-01057,1,0.45
RDS-01058,0,0.15
RDS-01059,0,0.1
RDS-01060,1,0.25
RDS-01061,0,0.0
RDS-01062,0,0.0
RDS-01063,0,0.0
RDS-01064,0,0.1
RDS-01065,2,0.65
RDS-01066,0,0.0
RDS-01067,1,0.25
RDS-01068,0,0.15
RDS-01069,0,0.15
RDS-01070,1,0.3
RDS-01071,0,0.15
RDS-01072,2,0.47
RDS-01073,1,0.37
